reactor_id,reactor_name,owner,tag,location,manufacturer,manufacturer_model,type,scale,D_tank_m,H_m,H_max_m,D_imp_m,impeller_type,Np,Nq,N_rpm_min,N_rpm_max,V_L_min,V_L_max,V_L,shell_material,lining,baffles,bottom_dish,top_dish,impeller_count,imp1_clearance_m,imp1_height_m,D_imp2_m,Np2,imp2_clearance_m,imp2_height_m,D_imp3_m,Np3,imp3_clearance_m,imp3_height_m,Zwietering_S,GMB_z,wall_thickness_mm,OD_m,knuckle_radius_m,notes,lining_material,instrumentation,discharge_location,insulated,gas_addition,gas_feed_control,no_ports,motor_power_kW,aux_units,cip,heating_cooling,heat_transfer_medium,heat_exchanger,T_max_C,P_max_atm,impeller_type2,impeller_type3,impeller_flow,impeller_model,impeller_flow2,impeller_model2,impeller_flow3,impeller_model3,probes,search_name
RX-034,Cambrex R-5102,Cambrex,R-5102,Charles City,Pfaulder,,Batch,Manufacturing,1.219,1.473,1.7779,0.54,CBR Turbine (4),2.7,,,143.0,134.76066,1892.70589,2195.53883,Carbon Steel,,yes,2:1 Elliptical,2:1 Elliptical,2.0,0.0444,0.1699,0.5588,1.3,0.7733,0.08477,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (3)",,Radial,,Axial/Radial,,,,,"Cambrex Cambrex R-5102 (CBR Turbine (4), 2)"
RX-035,Cambrex R-5104,Cambrex,R-5104,Charles City,Pfaulder,,Batch,Manufacturing,1.524,1.8288,2.21,0.7366,CBR Turbine (4),2.7,,,117.0,,3785.41178,4258.58825,Carbon Steel,,yes,2:1 Elliptical,2:1 Elliptical,2.0,0.06,0.1602,0.686,1.3,0.774,0.111,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (3)",,Radial,,Axial/Radial,,,,,"Cambrex Cambrex R-5104 (CBR Turbine (4), 2)"
RX-036,CHP_500mL_01,Cambrex,,High Point,Chemglass,,Batch,Lab,0.097,0.035518,0.046354,0.066,CBT Turbine (3),2.7,,,,0.1,0.5,0.5,Glass,,No,Spherical,Spherical,1.0,Variable,0.013,,,,,,,,,,,4.214,,,,,,,,,,,,,,,,,,,,,Radial,,,,,,,"Cambrex CHP_500mL_01 (CBT Turbine (3), 1)"
RX-037,CHP_5L_01,Cambrex,,High Point,Chemglass,,Batch,Pilot,0.17555,0.14866,0.23694,0.105,CBR Turbine (3),2.7,,,,0.5,5,5.0,Glass,,No,Spherical,Spherical,1.0,Variable,0.02,,,,,,,,,,,4.566,,,,,,,,,,,,,,,,,,,,,Radial,,,,,,,"Cambrex CHP_5L_01 (CBR Turbine (3), 1)"
RX-031,Cambrex R-202,Cambrex,R-202,High Point,De Dietrich,,Batch,Manufacturing,1.218,0.832,1.14,0.6604,"Flat Turbine, 60° (3)",1.3,,,125.0,323.84,1196.3,1429.0,Carbon Steel,yes,yes,2:1 Elliptical,2:1 Elliptical,1.0,0.23876,0.1397,,,,,,,,,,,16.0,,,,glass,,,,,,,,,,,,,,,,,Axial/Radial,,,,,,,"Cambrex Cambrex R-202 (Flat Turbine, 60° (3), 1)"
RX-032,Cambrex R-A01,Cambrex,R-A01,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 45° (3)",0.75,,12.0,125.0,201.6,1892,2165.0,Carbon Steel,Yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.0635,0.205232,0.6604,1.3,0.942086,0.138938,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (3)",,Axial,,Axial/Radial,,,,,"Cambrex Cambrex R-A01 (Optifoil, 45° (3), 2)"
RX-033,Cambrex R-A02,Cambrex,R-A02,High Point,De Dietrich,,Batch,Manufacturing,1.218,1.467,1.775,0.7366,"Optifoil, 45° (3)",0.75,,12.0,125.0,201.6,1892,2165.0,Carbon steel,Yes,3,2:1 Elliptical,2:1 Elliptical,2.0,0.0635,0.205232,0.6604,1.3,0.942086,0.138938,,,,,,,16.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (3)",,Axial,,Axial/Radial,,,,,"Cambrex Cambrex R-A02 (Optifoil, 45° (3), 2)"
RX-038,TMA 100 mL Chemspeed,Takeda,,TMA,Chemspeed,,,Lab,0.0408,0.0653,0.7443,0.019,"Flat Turbine, 45° (4)",1.3,,,,0.03,0.085,0.12,PEEK,,no,2:1 Elliptical,Flat,3.0,,0.0045,0.0144,1.3,0.0155,0.0045,0.019,1.3,0.031,0.0045,,,2.0,,,,,,,,,,,,,,,,,,,"Flat Turbine, 45° (4)","Flat Turbine, 45° (4)",Axial/Radial,,Axial/Radial,,,,,"Takeda TMA 100 mL Chemspeed (Flat Turbine, 45° (4), 3)"
RX-039,TMA EasyMax-402 HP,Takeda,,TMA,Mettler Toledo,,Batch,Lab,0.0726,,0.206,,,,,50.0,1000.0,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takeda TMA EasyMax-402 HP
RX-040,TMA 10 L Chemglass,Takeda,,TMA,Chemglass,,,Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takeda TMA 10 L Chemglass
RX-041,TMA 15 L Buchi,Takeda,,TMA,Buchi,,,Pilot,0.23497,0.22905,0.276,0.1152,CBR Turbine (3),2.7,,,,2.3,15,15.0,Glass,,yes,Torispherical??,Flat,1.0,0.02716,0.0236,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Takeda TMA 15 L Buchi (CBR Turbine (3), 1)"
RX-042,TMA 30 Kilo GLS,Takeda,,TMA,Buchi,,,Pilot,0.379,0.30413,0.37422,0.2513,CBR Turbine (3),2.7,,,,6.0,30,30.0,Glass,,yes,Torispherical??,Flat,1.0,0.02597,0.074,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Takeda TMA 30 Kilo GLS (CBR Turbine (3), 1)"
